Function,Total_Syscalls,Total_Syscalls_Success,Total_Syscalls_Failed,Min,Max,Average,Stdev,Failure,Context,Increase
gethostbyaddr_r@@GLIBC_2.2.5,487,294,193,0.000999997,0.022,0.002790554,0.002167206,1,0.396303901,0.603696099
gethostbyaddr_r@@GLIBC_2.2.5,487,288,199,0.000999997,0.024000001,0.002841889,0.002229998,1,0.40862423,0.59137577
gethostbyaddr_r@@GLIBC_2.2.5,487,282,205,0.000999997,0.034999997,0.003016427,0.002822553,1,0.420944559,0.579055441
gethostbyaddr_r@@GLIBC_2.2.5,487,282,205,0.000999997,0.024999998,0.002911704,0.002473399,1,0.420944559,0.579055441
__poll_chk,2,1,1,0.001,0.014000001,0.007500001,0.009192389,1,0.5,0.5
__poll_chk,2,1,1,0.001999997,0.012,0.006999999,0.00707107,1,0.5,0.5
__poll_chk,2,1,1,0.002000001,0.012,0.007000001,0.007071068,1,0.5,0.5
__poll_chk,2,1,1,0.002000001,0.016000002,0.009000001,0.009899496,1,0.5,0.5
__poll_chk,2,1,1,0.001,0.026999998,0.013999999,0.018384775,1,0.5,0.5
__mbsrtowcs_chk,117,106,11,0.000999997,0.026000002,0.001871795,0.002343511,0.5,0.094017094,0.405982906
ruserok2_sa,5,2,3,0.004000001,0.021,0.009200001,0.006978538,1,0.6,0.4
ruserok2_sa,5,2,3,0.002999997,0.016999998,0.008,0.005744563,1,0.6,0.4
ruserok2_sa,5,2,3,0.002999997,0.021,0.0112,0.007949843,1,0.6,0.4
ruserok2_sa,5,2,3,0.003000001,0.016999998,0.008,0.00552268,1,0.6,0.4
strcmp,92,86,6,0.000999997,0.019999999,0.001793478,0.002008433,0.4,0.065217391,0.334782609
__close,1479,834,645,0.000999997,0.029999999,0.001631508,0.001602217,0.75,0.436105477,0.313894523
__close,392,314,78,0,0.025999998,0.001265306,0.001759452,0.416666667,0.198979592,0.217687075
__pthread_mutex_unlock,49,9,40,0.001,0.007999999,0.002530612,0.001515228,1,0.816326531,0.183673469
__close,399,47,352,0,0.004000001,0.001155388,0.000658088,1,0.882205514,0.117794486
__mbsrtowcs_chk,120,109,11,0.000999997,0.022,0.001991667,0.002402715,0.2,0.091666667,0.108333333
__close,392,35,357,0,0.014000001,0.001165816,0.000993871,1,0.910714286,0.089285714
__close,392,31,361,0,0.006000002,0.001142857,0.000631646,1,0.920918367,0.079081633
__validuser2_sa,19,17,2,0.001,0.027000002,0.004052632,0.007276093,0.133333333,0.105263158,0.028070175
